date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:05	16568/16568	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2020%20Jun%202020%2014:38:07%20GMT	https://player.vimeo.com/api/player.js	C:/Users/user/Documents/my%20copied%20website/project1/player.vimeo.com/api/player.js	(from http://choccyorwine.com/assets/lander.js)
16:38:10	669699/669699	---M-Z	200	added ('OK')	application/javascript	etag:%225eea8e02-264d8%22	http://fast.wistia.net/assets/external/E-v1.js	C:/Users/user/Documents/my%20copied%20website/project1/fast.wistia.net/assets/external/E-v1.js	(from http://choccyorwine.com/assets/lander.js)
16:38:14	94/94	---MC-	302	error ('Found')	text/html	date:Sat,%2020%20Jun%202020%2014:38:17%20GMT	https://choccyorwine.com/	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/index.html	(from http://choccyorwine.com/assets/lander.js)
16:38:14	2142/2142	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Jun%202020%2014:38:18%20GMT	https://choccyorwine.com/mediaelement-flash-video.swf	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/mediaelement-flash-video.43.delayed	(from http://choccyorwine.com/assets/lander.js)
16:38:16	168599/168599	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4939-29297%22	https://cdnjs.cloudflare.com/ajax/libs/flv.js/1.3.2/flv.min.js	C:/Users/user/Documents/my%20copied%20website/project1/cdnjs.cloudflare.com/ajax/libs/flv.js/1.3.2/flv.min.js	(from http://choccyorwine.com/assets/lander.js)
16:38:19	65400/65400	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e764578-ff78%22	https://js.recurly.com/v3/recurly.js	C:/Users/user/Documents/my%20copied%20website/project1/js.recurly.com/v3/recurly.js	(from http://choccyorwine.com/assets/lander.js)
16:38:20	231359/231359	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4950-387bf%22	https://cdnjs.cloudflare.com/ajax/libs/hls.js/0.7.11/hls.min.js	C:/Users/user/Documents/my%20copied%20website/project1/cdnjs.cloudflare.com/ajax/libs/hls.js/0.7.11/hls.min.js	(from http://choccyorwine.com/assets/lander.js)
16:38:20	265/265	---MC-	302	error ('Found')	text/html	date:Sat,%2020%20Jun%202020%2014:38:22%20GMT	https://choccyorwine.com/Fennec/	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/Fennec/index.html	(from http://choccyorwine.com/assets/lander.js)
16:38:20	108/108	---MC-	302	error ('Found')	text/html	date:Sat,%2020%20Jun%202020%2014:38:22%20GMT	https://choccyorwine.com/Firefox/	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/Firefox/index.html	(from http://choccyorwine.com/assets/lander.js)
16:38:20	2142/2142	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Jun%202020%2014:38:24%20GMT	https://choccyorwine.com/Firebase.onDisconnect().set	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/Firebase.onDisconnect().47.delayed	(from http://choccyorwine.com/assets/lander.js)
16:38:21	2142/2142	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Jun%202020%2014:38:25%20GMT	https://choccyorwine.com/Firebase.set	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/Firebase.set	(from http://choccyorwine.com/assets/lander.js)
16:38:23	168/168	---MCZ	200	added ('OK')	text/plain	etag:W/%225eed257a-c6%22	http://choccyorwine.com/robots.txt		(from http://choccyorwine.com/assets/lander.css)
16:38:24	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Jun%202020%2014:38:28%20GMT	https://assets.clickfunnels.com/templates/master-cf-template/css/master-cf.css	C:/Users/user/Documents/my%20copied%20website/project1/assets.clickfunnels.com/templates/master-cf-template/css/master-cf.49.delayed	(from https://choccyorwine.com/nopage_error.html)
16:38:25	6773/6773	---MCZ	200	added ('OK')	text/css	etag:W/%223e7114e9a37d5aad422dafab4abb7dae%22	https://images.clickfunnels.com/old-public-templates/master-cf-template/css/master-cf.css	C:/Users/user/Documents/my%20copied%20website/project1/images.clickfunnels.com/old-public-templates/master-cf-template/css/master-cf.css	(from https://choccyorwine.com/nopage_error.html)
16:38:31	102937/102937	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202020%2009:10:26%20GMT	https://choccyorwine.com/mystoryandquiz	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/mystoryandquiz.html	(from https://choccyorwine.com/quizmystory)
